,"Hole Depth,ft","Rate Of Penetration,ft/hr","Rotary RPM,rev/min","Rotary Torque,in/lb","Weight on Bit,kDaN","Differential Pressure,kPa","Gamma,API","Inclination,degree"
5106,5107.0,275.39,70.46,14.235999999999999,10.6,2617.9,33.5,6.7
5107,5108.0,298.7,70.38,14.97,12.7,3197.7,33.5,6.7
5108,5109.0,299.74,70.6,18.755,14.4,4051.9,33.5,6.7
5109,5110.0,297.08,70.43,17.851,14.8,4191.4,33.5,6.7
5110,5111.0,297.5,70.51,15.309000000000001,14.8,4019.3,33.5,6.7
5111,5112.0,299.63,70.68,13.501,11.4,3011.1,33.5,6.7
5112,5113.0,300.61,70.74,13.388,8.7,2349.8,33.5,6.7
5113,5114.0,314.16,70.35,17.06,12.9,3027.2,33.5,6.7
5114,5115.0,340.72,70.43,18.303,15.5,4149.9,33.5,6.7
5115,5116.0,343.82,70.54,18.924,16.1,4487.6,33.5,6.7
5116,5117.0,334.8,70.49,18.529,15.4,4573.2,33.5,6.7
5117,5118.0,334.65,70.93,18.416,15.5,4343.6,33.5,6.7
5118,5119.0,342.42,70.57,17.851,16.1,4290.9,33.5,6.7
